Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mKBB,mQS,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Andrew Saalfrank","ARI","RP",999,62,0.17958165840570517,-4.448504317090545,-2.909397067699125,-4.85638261332086,-2.3962344867203584,0.5840493540388196,-13.846887472386367,4.45688385552075,-8.390003616865616,"26203"
"Andrew Bellatti","PHI","RP",999,60,-2.262920579876911,-2.807404237012416,-2.8283436884409325,-3.084108182421498,-2.3962344867203584,-0.48630970841561705,-13.865320882887735,4.45688385552075,-8.408437027366983,"10657"
"Ethan Small","MIL","RP",999,44,-1.0315859092013993,-2.362578501512041,-3.629093298261206,-2.8903278852268444,-2.3962344867203584,-1.5590695185829273,-13.868889599504776,4.45688385552075,-8.412005743984027,"26364"
"Jake Brentz","KCR","RP",999,38,-0.511116482536356,-2.64118917720248,-3.6984942956305336,-3.090098000653898,-2.3962344867203584,-1.5520838565941892,-13.889216299337818,4.45688385552075,-8.432332443817069,"17783"
"Devin Sweet","SFG","RP",999,48,-2.1808133245745958,-2.603372501717122,-3.6883864035944605,-2.0694190906439496,-2.3962344867203584,-0.955305913523146,-13.893531720773636,4.45688385552075,-8.436647865252887,"25348"
"Jordan Weems","WSN","RP",999,62,-2.253830776048375,-3.4487968479495383,-2.8224160400650407,-3.5477553099140953,-2.3962344867203584,0.5618289242360092,-13.9072045364614,4.45688385552075,-8.450320680940651,"13190"
"Hurston Waldrep","ATL","RP",999,46.702,-1.575964841737279,-3.04593072250936,-3.532824101974828,-2.485731031733255,-1.7759499327719468,-1.5495386891706913,-13.965939319897359,4.45688385552075,-8.509055464376607,"sa3022942"
"Tejay Antone","CIN","RP",749.2000122070312,50,-1.6468813014592216,-2.6745927577951423,-3.321786720017656,-2.391824921283837,-2.3962344867203584,-1.5588529159147984,-13.990173103191013,4.45688385552075,-8.533289247670266,"16233"
"James Naile","STL","RP",999,42,-1.067319423343056,-2.6894163759184195,-4.20163543983646,-2.086488554786258,-2.3962344867203584,-1.5504051321205756,-13.99149941272513,4.45688385552075,-8.53461555720438,"18186"
"Freddy Tarnok","OAK","RP",999,43.2283,-1.789381387405877,-2.2484689964532594,-3.7679255738877573,-2.621897614720011,-2.0259278950123463,-1.5597013050559643,-14.013302772535216,4.45688385552075,-8.556418917014465,"23324"
"John McMillon","KCR","RP",695.5999755859375,63,-1.1059660434858651,-4.372784209941848,-2.327765228943337,-5.483509084624635,-2.3962344867203584,1.6506539128637017,-14.035605140852343,4.45688385552075,-8.578721285331593,"27942"
"Alex Reyes",,"RP",999,36,-1.0836749194841069,-2.3210908262012917,-3.7871060478199,-2.824017241780167,-2.3962344867203584,-1.6655512697328227,-14.077674791738648,4.45688385552075,-8.6207909362179,"15015"
"Shintaro Fujinami",,"RP",726.3300170898438,65,-1.0669988849031635,-2.863245439605267,-2.432705620791107,-3.724218781374223,-2.3962344867203584,-1.6655512697328227,-14.148954483126944,4.45688385552075,-8.692070627606192,"31839"
"Angel Felipe","OAK","RP",999,38,-0.17729506169620257,-2.66040734958365,-3.841502536096149,-3.5325849891433374,-2.3962344867203584,-1.5597013050559643,-14.167725728295665,4.45688385552075,-8.710841872774916,"21163"
"Ben Heller","PIT","RP",999,38,-1.38888288450594,-2.5488813749991057,-4.019563043713168,-2.317136491377411,-2.3962344867203584,-1.5537264842094891,-14.224424765525471,4.45688385552075,-8.767540910004723,"15100"
"Riley O'Brien","STL","RP",999,52,-0.7824121646476421,-3.362547762120818,-3.3641426056737944,-3.8554502559451937,-2.3962344867203584,-0.4681144817819063,-14.228901756889714,4.45688385552075,-8.772017901368963,"20348"
"Brady Singer","KCR","SP",457.2699890136719,169.339,-5.8949788953080215,-8.912049064414955,0.5152385454334965,-4.269679634744166,1.6653214417035156,-1.6655512697328227,-18.561698877062952,8.778744096319503,-8.782954780743449,"25377"
"Carmen Mlodzinski","PIT","RP",999,65,-2.3200180815771447,-4.162134344153583,-2.933521554860634,-3.767231879156387,-2.3962344867203584,1.2958472086888058,-14.283293137779303,4.45688385552075,-8.82640928225855,"27572"
"Anthony Veneziano","KCR","RP",748,35.468,-1.7672712301090328,-2.5673511111439757,-4.274962337864638,-2.1213077842492822,-2.024334360271131,-1.5520838565941892,-14.30731068023225,4.45688385552075,-8.850426824711496,"27453"
"Bryce Jarvis","ARI","RP",999,37.1142,-1.6254385533418558,-2.6351142364850113,-4.097273017979422,-2.180165247617188,-2.22124387722571,-1.5546831746847194,-14.313918107333908,4.45688385552075,-8.857034251813158,"27477"
"Grant Hartwig","NYM","RP",999,44,-1.1601454406654461,-2.7824344542254913,-3.7061691841520936,-2.781457139318479,-2.3962344867203584,-1.551091058501522,-14.377531763583393,4.45688385552075,-8.920647908062643,"29946"
"Luis Frias","ARI","RP",999,44,-1.2111432968335825,-2.7710600075539205,-3.638342792953414,-2.8396155514841244,-2.3962344867203584,-1.5546831746847194,-14.41107931023012,4.45688385552075,-8.954195454709371,"21997"
"Jose A. Ferrer","WSN","RP",999,52,-1.0946619911614408,-3.447931914850007,-3.599653856993592,-3.356982856752161,-2.3962344867203584,-0.5239094871299722,-14.419374593607529,4.45688385552075,-8.962490738086778,"24017"
"Sean Hjelle","SFG","RP",999,76.468,-1.7195377213816043,-4.69007296484627,-2.964263897158036,-3.166773394578702,-1.9844954182560397,0.10451144609942266,-14.42063195012123,4.45688385552075,-8.96374809460048,"21481"
"Drew Pomeranz",,"RP",999,40,-1.279772239471592,-2.6752472475523366,-3.753619993766956,-2.6674036872160323,-2.3962344867203584,-1.6655512697328227,-14.437828924460101,4.45688385552075,-8.98094506893935,"11426"
"Dany Jimenez","OAK","RP",627.27001953125,64,-1.542843323398017,-3.9116845621906164,-2.6502616221482924,-5.038959047031153,-2.3962344867203584,1.0215288595760403,-14.518454181912396,4.45688385552075,-9.06157032639165,"21170"
"Brad Hand",,"RP",999,52,-1.5998071361293273,-2.7666220320923514,-3.310798707392053,-2.785362247523714,-2.3962344867203584,-1.6655512697328227,-14.524375879590627,4.45688385552075,-9.06749202406988,"9111"
"Kai-Wei Teng","SFG","RP",999,62.468,-1.3787423934031464,-3.371732416052826,-2.7242358564402895,-3.5408455272835933,-1.9959209179041018,-1.5545748733506548,-14.56605198443461,4.45688385552075,-9.109168128913861,"sa3007229"
"Greg Weissert","BOS","RP",999,44,-1.5105618195545043,-2.8839292058479478,-3.5811851484970725,-2.6645703345328924,-2.3962344867203584,-1.553455720115205,-14.589936715267982,4.45688385552075,-9.133052859747233,"20375"
"Andrew Wantz","LAA","RP",999,52,-2.7842923614515747,-3.029099466934502,-3.3294054901545813,-2.6337922638985716,-2.3962344867203584,-0.4326988050758032,-14.60552287423539,4.45688385552075,-9.148639018714643,"24933"
"Sean Newcomb","OAK","RP",999,60,-0.8134255756494627,-3.9245721893014323,-2.8156903915510356,-5.243682651476106,-2.3962344867203584,0.5492113131387215,-14.644393981559675,4.45688385552075,-9.187510126038923,"16943"
