Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,PlayerId
"Joe Ryan","MIN","SP",218.61000061035156,133.713,-0.4617277751075619,-1.5017901580503095,-4.138945795895211,2.346993382882414,-0.27475619713669486,-4.030226543307362,9.9078506423059,6.877624098998538,"21390"
"Luis Garcia","HOU","SP",149.39999389648438,157.636,0.8139094680129553,-1.3929554114260447,-2.4839545190129315,-2.6413430581825743,1.268023532798481,-4.436319987810115,9.9078506423059,6.471530654495786,"23735"
"Will Smith","ATL","RP",95.87999725341797,64.9501,-4.677648570732648,7.549490853474567,-0.11603760488349156,0.24106757132977813,-4.258847873246542,-1.2619756240583373,6.126448073082172,5.864472449023834,"8048"
"John Means","BAL","SP",220.6699981689453,162.574,0.1386779832332015,-1.5017901580503095,-4.698368415898172,0.7459607683559333,-0.021653016583661745,-5.337172838943008,9.9078506423059,5.570677803362892,"16269"
"Hyun-Jin Ryu","TOR","SP",202.9600067138672,159.763,1.959665355383911,-1.5017901580503095,-3.1737211175834186,-2.4510479617076735,-0.4930354712657157,-5.659929353223206,9.9078506423059,5.247921289082694,"14444"
"Kenley Jansen",,"RP",93.54000091552734,62.5551,-4.484379724197901,5.906000376730995,0.7417816662782524,0.3493831681676014,-4.413577189547756,-1.9007917025688088,6.126448073082172,5.225656370513364,"3096"
"Blake Treinen","LAD","RP",172.75999450683594,65.6452,-3.745146181397596,4.996198788358865,1.486644402268569,-0.25080791945657477,-4.589298785384132,-2.1024096956108695,6.126448073082172,5.024038377471302,"12572"
"Taylor Rogers","MIN","RP",204.25,59.2271,-4.932579144619698,4.310010831020437,2.045050845674773,0.816273126638175,-4.401588412737342,-2.1628327540236567,6.126448073082172,4.9636153190585155,"13449"
"Garrett Whitlock","BOS","RP",243.30999755859375,81.2326,-2.92110946750811,3.571637889100571,1.4479112643307819,-0.5128464712031048,-3.762950506072147,-2.177357291352009,6.126448073082172,4.949090781730163,"20191"
"Alex Wood","SFG","SP",219.75999450683594,145.764,0.10794029301394796,-1.5017901580503095,-2.202031559322376,-2.270609446286608,-0.10129560908090256,-5.967786479726248,9.9078506423059,4.940064162579652,"13781"
"Tarik Skubal","DET","SP",193.57000732421875,156.185,0.4006164448724181,-1.5017901580503095,-4.132385703896909,-2.589188181097995,1.6521926903143573,-6.170554907858437,9.9078506423059,4.737295734447462,"22267"
"Sonny Gray","CIN","SP",179.07000732421875,160.094,1.9065731429004553,-1.5017901580503095,-4.337806068104415,-3.9747482689374225,1.5287918253465909,-6.378979526845101,9.9078506423059,4.528871115460801,"12768"
"Adam Wainwright","STL","SP",203.4199981689453,169.92,2.1055978658011196,-1.5017901580503095,-3.4239512383337307,-3.1207033118294003,-0.6001038688112776,-6.540950711223599,9.9078506423059,4.366899931082303,"2233"
"Ranger Suarez","PHI","SP",175.1300048828125,146.5,0.7784222636046697,-1.3981201421295952,-1.0269337190069387,-4.175421304842636,-0.8456163188989201,-6.667669221273419,9.9078506423059,4.2401814210324815,"17277"
"Zac Gallen","ARI","SP",133.9600067138672,168.221,-0.04644379399889512,-1.5017901580503095,-3.961695753358791,-3.67602956108334,2.1520146367890427,-7.033944629702293,9.9078506423059,3.873906012603608,"19291"
"Logan Gilbert","SEA","SP",161.14999389648438,142.14,-1.0242884519996935,-1.5017901580503095,-4.564532296297395,-0.4490093780355632,0.13510224279214125,-7.404518041590822,9.9078506423059,3.503332600715079,"22250"
"Devin Williams","MIL","RP",298.17999267578125,62.4744,-2.9668886186284866,-0.7631304723831622,3.2639289180262137,0.36385618161198546,-3.5470929229000183,-3.6493269142734683,6.126448073082172,3.477121158808704,"15816"
"Drew Rasmussen","TBR","SP",277.80999755859375,117.042,-2.0079625034444377,-1.4476700329021577,-0.5507136300489978,-1.783895034321106,-1.6991968205601713,-7.489438021276871,9.9078506423059,3.41841262102903,"25385"
"Andrew Kittredge","TBR","RP",277.989990234375,64.5495,-3.5467820016693126,1.9596007315545347,2.0718181114002125,0.49312123947921904,-4.831411141316705,-3.8536530605520514,6.126448073082172,3.2727950125301213,"12828"
"Patrick Sandoval","LAA","SP",208.85000610351562,141.731,-0.40679563671960123,-1.471740631352146,-2.042597284598106,-3.9185928759686455,0.023518504950897683,-7.816207923687602,9.9078506423059,3.0916427186182984,"19447"
"Stephen Strasburg","WSN","SP",291.8699951171875,129.523,-0.2525048342166437,-1.5017901580503095,-3.638874405988095,-1.3717131581755537,-1.0578373127959524,-7.822719869226553,9.9078506423059,3.085130773079347,"10131"
"Bailey Ober","MIN","SP",268.54998779296875,137.714,-1.095362364293476,-1.5017901580503095,-4.27717465700069,-0.6174595801834608,-0.441634973424632,-7.933421732952567,9.9078506423059,2.974428909353333,"21224"
"David Bednar","PIT","RP",195.3000030517578,64.2373,-5.2267987109048235,3.229648620105364,1.5409005980280917,0.36706950860438814,-4.282859279999469,-4.372039264166448,6.126448073082172,2.7544088089157244,"19569"
"Ian Anderson","ATL","SP",149.75,156.064,1.5195872399715582,-1.5017901580503095,-3.116524046374087,-5.59528040844782,0.5353111096582527,-8.158696263242405,9.9078506423059,2.7491543790634956,"19951"
"Collin McHugh",,"SP/RP",520.9299926757812,64.6048,-4.123181213496996,-1.3768886811394299,1.1817191900250168,0.8146356114016627,-4.705258636555234,-8.20897372976498,9.9078506423059,2.6988769125409213,"7531"
"Lucas Sims","CIN","RP",243.99000549316406,61.4752,-4.573245657798577,3.8102583485848642,0.07894893269525557,-0.03438935323590655,-3.7519177226400697,-4.470345452394433,6.126448073082172,2.6561026206877387,"13470"
"Jose Urquidy","HOU","SP",203.9600067138672,133.375,-0.5012173292018911,-1.5017901580503095,-4.804615872300996,0.34506588717255937,-1.8255772379574748,-8.288134710338113,9.9078506423059,2.619715931967788,"18413"
"Jordan Montgomery","NYY","SP",209.72999572753906,154.367,0.055079959169350975,-1.5017901580503095,-3.8957332996914746,-3.6799474352214694,0.5505459727129113,-8.471844961080992,9.9078506423059,2.4360056812249082,"16511"
"Corey Knebel","PHI","RP",166.80999755859375,55.3398,-4.76444269978996,4.246493458821848,0.5335644696774369,-0.013396948392116725,-4.756342059285798,-4.754123778968589,6.126448073082172,2.372324294113583,"15010"
"Paul Sewald","SEA","RP",304.3900146484375,64.8474,-3.7507392540831654,1.6248818892350128,0.2902851170150876,0.4518978171662873,-3.7115962582847786,-5.095270688951557,6.126448073082172,2.0311773841306158,"13892"
"Trevor Bauer","LAD","SP",297.25,60.9452,-4.245631791716242,-1.5017901580503095,0.3775342423308697,1.0319709202240381,-4.568413310096726,-8.90633009730837,9.9078506423059,2.00152054499753,"12703"
"Chad Green","NYY","RP",393.29998779296875,65.9705,-3.040877005538266,-0.5706618218652693,0.43258486388261946,2.1022076516554358,-4.06496669446388,-5.141713006329361,6.126448073082172,1.9847350667528116,"15552"
